juris_name,In list,cnty_name
VALLEJO,CIT.434,Solano
WOODLAKE,CIT.460,Tulare
CUPERTINO,CIT.102,Santa Clara
SANTA CRUZ COUNTY,#N/A,Santa Cruz
RIPON,CIT.341,San Joaquin
NORWALK,CIT.281,Los Angeles
SAN GABRIEL,CIT.360,Los Angeles
GRIDLEY,CIT.162,Butte
WHEATLAND,CIT.453,Yuba
MONTE SERENO,CIT.262,Santa Clara
OXNARD,CIT.294,Ventura
WEST COVINA,CIT.447,Los Angeles
FAIRFIELD,CIT.135,Solano
REEDLEY,CIT.335,Fresno
ROLLING HILLS ESTATES,CIT.347,Los Angeles
SUNNYVALE,CIT.413,Santa Clara
WILDOMAR,CIT.455,Riverside
MARYSVILLE,CIT.247,Yuba
OJAI,CIT.287,Ventura
CALABASAS,CIT.055,Los Angeles
MENIFEE,CIT.251,Riverside
SAN MARCOS,CIT.368,San Diego
LAKE FOREST,CIT.214,Orange
SAN MATEO COUNTY,#N/A,San Mateo
AMERICAN CANYON,CIT.010,Napa
MORAGA,#N/A,Contra Costa
SANTA CLARITA,CIT.379,Los Angeles
FERNDALE,CIT.137,Humboldt
TIBURON,#N/A,Marin
MILPITAS,CIT.256,Santa Clara
SAN JACINTO,CIT.361,Riverside
WESTMORLAND,CIT.452,Imperial
LINDSAY,CIT.224,Tulare
SISKIYOU COUNTY,#N/A,Siskiyou
PLEASANTON,CIT.317,Alameda
GREENFIELD,CIT.161,Monterey
BELMONT,CIT.036,San Mateo
ATWATER,CIT.023,Merced
PERRIS,CIT.307,Riverside
SAN DIEGO COUNTY,#N/A,San Diego
LA VERNE,CIT.207,Los Angeles
LATHROP,CIT.219,San Joaquin
FOWLER,CIT.147,Fresno
REDLANDS,CIT.332,San Bernardino
ROCKLIN,CIT.344,Placer
SAN LUIS OBISPO COUNTY,#N/A,San Luis Obispo
TORRANCE,CIT.422,Los Angeles
SANTA ANA,CIT.376,Orange
CONCORD,CIT.091,Contra Costa
BURLINGAME,CIT.053,San Mateo
JURUPA VALLEY,CIT.195,Riverside
WOODSIDE,T.021,San Mateo
SIERRA COUNTY,#N/A,Sierra
PALM SPRINGS,CIT.298,Riverside
INGLEWOOD,CIT.189,Los Angeles
HANFORD,CIT.167,Kings
INDIAN WELLS,CIT.186,Riverside
RANCHO CORDOVA,CIT.325,Sacramento
TULARE COUNTY,#N/A,Tulare
GARDENA,CIT.153,Los Angeles
SAN LUIS OBISPO,CIT.367,San Luis Obispo
HERMOSA BEACH,CIT.174,Los Angeles
HEMET,CIT.172,Riverside
MERCED,CIT.253,Merced
CERES,CIT.070,Stanislaus
MCFARLAND,CIT.249,Kern
FORT JONES,CIT.143,Siskiyou
DORRIS,CIT.114,Siskiyou
EASTVALE,CIT.121,Riverside
BERKELEY,CIT.039,Alameda
ALBANY,CIT.005,Alameda
PISMO BEACH,CIT.312,San Luis Obispo
PINOLE,CIT.311,Contra Costa
PASO ROBLES,CIT.305,San Luis Obispo
SANTA CLARA COUNTY,#N/A,Santa Clara
SIMI VALLEY,CIT.398,Ventura
DALY CITY,CIT.104,San Mateo
CLAYTON,CIT.079,Contra Costa
SOUTH SAN FRANCISCO,CIT.408,San Mateo
ALHAMBRA,CIT.006,Los Angeles
BURBANK,CIT.053,Los Angeles
LEMON GROVE,CIT.221,San Diego
MODESTO,CIT.258,Stanislaus
APPLE VALLEY,T.002,San Bernardino
SUISUN CITY,CIT.412,Solano
SAUSALITO,CIT.388,Marin
AZUSA,CIT.027,Los Angeles
BELL GARDENS,CIT.034,Los Angeles
ROHNERT PARK,CIT.345,Sonoma
SOUTH EL MONTE,CIT.404,Los Angeles
SACRAMENTO,CIT.349,Sacramento
MARIPOSA COUNTY,#N/A,Mariposa
WATERFORD,CIT.444,Stanislaus
DINUBA,CIT.112,Tulare
LA MESA,CIT.202,San Diego
BEVERLY HILLS,CIT.040,Los Angeles
BUENA PARK,CIT.052,Orange
RIVERBANK,CIT.342,Stanislaus
LA QUINTA,CIT.206,Riverside
ANTIOCH,CIT.015,Contra Costa
MODOC COUNTY,#N/A,Modoc
NEWARK,CIT.277,Alameda
PASADENA,CIT.304,Los Angeles
BISHOP,CIT.043,Inyo
LOS ALTOS HILLS,T.010,Santa Clara
HUGHSON,CIT.180,Stanislaus
LOMPOC,CIT.231,Santa Barbara
TULARE,CIT.425,Tulare
CHULA VISTA,CIT.076,San Diego
SAN BRUNO,CIT.353,San Mateo
BANNING,CIT.030,Riverside
MOUNTAIN VIEW,CIT.271,Santa Clara
SANTEE,CIT.386,San Diego
STANTON,CIT.410,Orange
NEWPORT BEACH,CIT.279,Orange
ARTESIA,#N/A,Los Angeles
YOLO COUNTY,#N/A,Yolo
RIDGECREST,CIT.338,Kern
WEED,CIT.446,Siskiyou
LAGUNA HILLS,CIT.210,Orange
PALOS VERDES ESTATES,CIT.301,Los Angeles
CULVER CITY,CIT.101,Los Angeles
MONTEBELLO,CIT.263,Los Angeles
SUSANVILLE,CIT.414,Lassen
ATASCADERO,CIT.022,San Luis Obispo
ALPINE COUNTY,#N/A,Alpine
SAINT HELENA,#N/A,Napa
SANGER,CIT.375,Fresno
BLUE LAKE,CIT.044,Humboldt
ETNA,CIT.132,Siskiyou
VENTURA,CIT.435,Ventura
SOLANA BEACH,CIT.399,San Diego
TEHAMA COUNTY,#N/A,Tehama
SOUTH LAKE TAHOE,CIT.406,El Dorado
YUBA CITY,CIT.464,Sutter
BRISBANE,CIT.050,San Mateo
NATIONAL CITY,CIT.274,San Diego
FOLSOM,CIT.140,Sacramento
STOCKTON,CIT.411,San Joaquin
MARIN COUNTY,#N/A,Marin
FULLERTON,CIT.150,Orange
RANCHO CUCAMONGA,CIT.326,San Bernardino
EL CENTRO,CIT.123,Imperial
HILLSBOROUGH,T.008,San Mateo
MONROVIA,CIT.259,Los Angeles
LAWNDALE,CIT.220,Los Angeles
BRAWLEY,CIT.047,Imperial
FIREBAUGH,CIT.139,Fresno
KERN COUNTY,#N/A,Kern
IRWINDALE,CIT.192,Los Angeles
WEST SACRAMENTO,CIT.449,Yolo
BARSTOW,CIT.031,San Bernardino
HOLTVILLE,CIT.179,Imperial
SANTA BARBARA,CIT.377,Santa Barbara
CAMPBELL,CIT.062,Santa Clara
MORRO BAY,CIT.269,San Luis Obispo
GUSTINE,CIT.165,Merced
LOS ALTOS,CIT.234,Santa Clara
GILROY,CIT.154,Santa Clara
RANCHO SANTA MARGARITA,CIT.329,Orange
YUCAIPA,CNT.001,San Bernardino
MOUNT SHASTA,CIT.270,Siskiyou
AMADOR,CIT.009,Amador
CAPITOLA,CIT.064,Santa Cruz
BRENTWOOD,CIT.049,Contra Costa
LINCOLN,CIT.223,Placer
CORONADO,CIT.095,San Diego
RANCHO MIRAGE,CIT.327,Riverside
RANCHO PALOS VERDES,CIT.328,Los Angeles
CHINO,CIT.073,San Bernardino
CORTE MADERA,T.005,Marin
YUCCA VALLEY,0,San Bernardino
BENICIA,CIT.038,Solano
ALTURAS,CIT.008,Modoc
LIVINGSTON,CIT.227,Merced
HAWTHORNE,CIT.169,Los Angeles
TUOLUMNE COUNTY,#N/A,Tuolumne
HIGHLAND,CIT.177,San Bernardino
BLYTHE,CIT.045,Riverside
LA CANADA FLINTRIDGE,CIT.199,Los Angeles
BELLFLOWER,CIT.035,Los Angeles
PITTSBURG,CIT.313,Contra Costa
ROSEVILLE,CIT.349,Placer
ESCALON,CIT.130,San Joaquin
CALIMESA,CIT.058,Riverside
NEVADA CITY,CIT.276,Nevada
FILLMORE,CIT.138,Ventura
JACKSON,CIT.194,Amador
DEL MAR,CIT.107,San Diego
DANA POINT,CIT.105,Orange
WATSONVILLE,CIT.445,Santa Cruz
CHOWCHILLA,CIT.075,Madera
LOS ALAMITOS,CIT.233,Orange
COTATI,CIT.097,Sonoma
SAN JOAQUIN,CIT.362,Fresno
SEBASTOPOL,CIT.392,Sonoma
SAN LEANDRO,CIT.366,Alameda
LAKEPORT,CIT.215,Lake
GLENDORA,CIT.156,Los Angeles
TEMPLE CITY,CIT.420,Los Angeles
SANTA ROSA,CIT.385,Sonoma
ATHERTON,T.003,San Mateo
IONE,#N/A,Amador
THOUSAND OAKS,CIT.421,Ventura
LOS BANOS,CIT.236,Merced
RED BLUFF,CIT.330,Tehama
FRESNO COUNTY,#N/A,Fresno
DANVILLE,T.006,Contra Costa
SAN FRANCISCO,CIT.359,San Francisco
SANTA BARBARA COUNTY,#N/A,Santa Barbara
ADELANTO,CIT.002,San Bernardino
CITRUS HEIGHTS,CIT.077,Sacramento
YORBA LINDA,CIT.462,Orange
MONTEREY,CIT.264,Monterey
MONTEREY PARK,CIT.265,Los Angeles
SAN CLEMENTE,CIT.355,Orange
MORGAN HILL,CIT.268,Santa Clara
ARVIN,CIT.020,Kern
SAN ANSELMO,T.017,Marin
SAND CITY,CIT.374,Monterey
MOORPARK,CIT.266,Ventura
ROSS,T.016,Marin
CARSON,#N/A,Los Angeles
MURRIETA,CIT.272,Riverside
MORENO VALLEY,CIT.267,Riverside
CUDAHY,CIT.100,Los Angeles
MALIBU,#N/A,Los Angeles
CLEARLAKE,CIT.080,Lake
ORLAND,CIT.292,Glenn
FONTANA,CIT.141,San Bernardino
PORTERVILLE,CIT.322,Tulare
YREKA,CIT.463,Siskiyou
BIGGS,CIT.042,Butte
RIO VISTA,CIT.340,Solano
GARDEN GROVE,CIT.152,Orange
STANISLAUS COUNTY,#N/A,Stanislaus
SANTA MONICA,CIT.383,Los Angeles
NOVATO,CIT.282,Marin
FORT BRAGG,CIT.142,Mendocino
EAST PALO ALTO,CIT.120,San Mateo
LODI,CIT.228,San Joaquin
SANTA CLARA,CIT.378,Santa Clara
TRUCKEE,T.018,Nevada
WHITTIER,CIT.454,Los Angeles
LEMOORE,CIT.222,Kings
CALAVERAS COUNTY,#N/A,Calaveras
WESTLAKE VILLAGE,CIT.450,Los Angeles
ORINDA,CIT.291,Contra Costa
